,Domain,Realm,Kingdom,Phylum,Class,Order,Family
vOTU_838,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2100,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_734,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1201,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2443,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2535,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2268,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2469,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2976,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_10801,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_11076,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_17229,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_18129,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_18228,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_19231,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_20064,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_20296,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_20679,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_20779,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_20800,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_21097,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_22468,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_22825,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_23139,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae
vOTU_1037,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1066,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1285,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1422,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1603,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_167,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_176,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1798,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1896,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1935,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_208,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_220,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_233,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_2344,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_241,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_263,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_288,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_3059,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_307,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_308,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_310,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_319,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_346,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_363,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_407,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_419,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_451,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_467,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_483,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_487,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_507,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_516,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_517,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_519,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_521,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_523,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_525,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_533,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_539,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_541,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_544,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_552,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_569,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_575,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_611,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_647,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_662,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_663,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_674,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_759,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_827,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_932,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1388,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_401,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_763,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_946,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2630,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_456,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_515,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_344,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1029,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1402,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1464,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1633,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1638,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1683,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2562,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2671,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2991,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_3055,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_3241,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_434,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_488,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_576,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_653,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_705,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_869,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_890,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_927,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1988,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_2230,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_56,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_73,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1077,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1655,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1986,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2391,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2429,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2559,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2986,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_580,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_593,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_3191,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_1579,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_1636,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2242,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2761,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_2941,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified_Caudoviricetes,Unclassified_Caudoviricetes
vOTU_373,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_10090,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_10838,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
vOTU_10869,Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses,Unclassified_Viruses
